stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.23216] added dtor for sub_bitmap 0000021CBEDE72A0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23227] added dtor for sub_bitmap 0000021CBEDE7C50, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23243] added dtor for sub_bitmap 0000021CBEE6D390, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23255] added dtor for sub_bitmap 0000021CBEE6D580, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23265] added dtor for sub_bitmap 0000021CBEE6DB50, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23277] added dtor for sub_bitmap 0000021CBEE6D1A0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23287] added dtor for sub_bitmap 0000021CBEE6CBD0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23305] added dtor for sub_bitmap 0000021CBEE6C9E0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23315] added dtor for sub_bitmap 0000021CBEE6D770, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23325] added dtor for sub_bitmap 0000021CBEE6C410, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23337] added dtor for sub_bitmap 0000021CBEE6DD40, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23347] added dtor for sub_bitmap 0000021CBEE6C600, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23357] added dtor for sub_bitmap 0000021CBEE6CDC0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23368] added dtor for sub_bitmap 0000021CBEE6CFB0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23377] added dtor for sub_bitmap 0000021CBEE6C7F0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23387] added dtor for sub_bitmap 0000021CBEE6D960, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23397] added dtor for sub_bitmap 0000021CBEE6C220, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23407] added dtor for sub_bitmap 0000021CBEE6DF30, func 00007FFC8DEE118B
